什么是专利类型？	1
专利类型是啥	1
专利有哪些类型	1
专利类型是怎么区分的	1
专利什么类型？	1
专利还分类型吗	1
列举一下有啥类型吗	1
你们这个有什么类型	1
你们有多少类的专利	1
有哪些类	1
怎么区分这些类型	1
这些类型要怎么区分	1
我要怎么判断类型	1
如何判断专利属于那个类别	1
我要怎么选类别	1
啥是类别	1
还有其他类别吗	1
类别啥	1
我要怎么确定类别	1
我查的专利有哪些类别？	1
这个关键词是啥	2
什么是专利的关键词	2
我怎么确定专利的关键词	2
啥是关键词	2
如何去描述我想要的专利	2
关键词是指专利的特点吗	2
我要怎么确定专利有啥特点	2
专利啥关键次啊，没有关键词	2
我该咋确定有啥可以搜的关键词	2
关键是啥	2
啊啊啊怎么提取关键词	2
关键词是什么疑似	2
关键词是什么意思	2
如何获取关键词	2
关键词用头像这种可以吗	2
关键词用图像这种大的可以吗	2
关键词随便说一个可以吗	2
我用NLP作为关键词可行不	2
关键词是描述哪一方面的？	2
关键词是用来做啥的	2
什么是专利申请机构	3
专利申请机构是啥？	3
what？专利的申请机构吗	3
申请机构是必须的吗？	3
申请机构是什么意思	3
啥是申请机构啊？	3
这个机构我不能确定怎么办？	3
专利申请机构要全称吗？	3
我不清楚那个全称怎么办？	3
专利申请机构指什么？	3
申请机构是啥	3
哇还有申请机构？	3
申请机构？	3
什么申请机构》	3
啥申请机构啊，你说清楚	3
我不懂啥申请机构	3
你说的机构是指申请这个专利的吗？	3
机构是指人还是公司？	3
你说的机构指的是人吗？	3
什么机构》	3
什么是专利申请时间	4
啥是申请时间	4
这个时间是怎么定义的？	4
时间是指提交专利的时间吗？	4
时间是指专利申请的那天吗？	4
专利申请的那天还是公布的那天？	4
啥子是申请时间	4
申请日期是什么	4
什么是专利申请的日期	4
申请日期是指的人去提交的那天吗	4
申请日期是专利代理条给专利局的时间？	4
你说清楚一点，专利时间是啥	4
没懂你这个专利日期是什么意思？	4
你能解释一下专利日期吗	4
你能解释一下专利发明专利吗	4
专利时间是要精确到年月日吗	4
年月日？	4
专利时间我要到什么程度？	4
啥日期？	4
啥时间？	4
你们有多少专利？	5
请问你们专利数量有多少	5
有多少可以给我查查？	5
你们一共多少条	5
你们的范围是什么	5
你们有多少范围的专利	5
专利的范围是什么	5
能包括航天的专利吗	5
可以覆盖机器学习专利 吗	5
专利覆盖范围是什么	5
覆盖范围？	5
有多少专利	5
你们到底能有多少啊	5
好少啊你们能有多少专利	5
你们的库和网上的比谁的大	5
你们能覆盖全面吗，像网上的那种	5
你们的能覆盖多少	5
是不是没有网上的全？	5
你们录用的专利有多少？	5
有哪些类别的专利？	5
我为什么找不到专利？	6
找不到专利怎么办	6
找不到是怎么会是	6
找不到怎么回事？	6
为啥找不到合适的？	6
你给我推的为啥都是不合适的啊？	6
你为什么给我推这些专利	6
在你这我找不到专利？	6
专利都不合适怎么办？	6
按照你给的条件搜我找不到合适的专利	6
为什么我搜了但是没有专利？	6
我搜不到我想要的专利还有其他办法吗？	6
还有其他专利吗我找不到我要的	6
是不是找不到专利就是没有？	6
没有专利吗？	6
找不到呢？	6
我为啥找不到	6
我怎么找不到想要的	6
搜不到是为啥你们这个好垃圾啊	6
搜不到啊垃圾啊	6
你是机器人吗？	17
你是客服吗？	17
你代表平台吗？	17
你是机器？	17
你是机器吗？	17
机器人？	17
对话机器人？	17
你有自主意识吗？	17
Are you a robot?	17
你是人类吗？	17
你是谁啊？	17
你到底是人还是机器啊？	17
你是会说话的机器人吗？	17
你是人工智能？	17
你不会是客服吧？	17
客服？	17
你就是机器人吧？	17
你不会是机器人吧？	17
机器人吗？	17
客服吗？	17
都有哪些功能啊？	18
这怎么操作？	18
我要输入什么？	18
可以做些什么？	18
我具体该怎么做？	18
具体怎么操作？	18
有操作说明吗？	18
怎么个操作法呀？	18
怎么搞？	18
都可以做些什么？	18
有什么功能吗？	18
具体做什么的？	18
那是要操作些什么？	18
那接下来怎么操作？	18
这功能都有哪些？	18
功能是什么？	18
都有啥功能？	18
你这都能做些啥？	18
你这咋操作呢？	18
不会操作啊，有什么功能啊？	18
